Respondent ID,Division,Which of the following best describes your position level?,Which generation are you apart of?,Please select the gender in which you identify.,Which duration range best aligns with your tenure at your company?,Which of the following best describes your employment type?,Question - Subquestion,Answer,Total Respondants,Same Answers
5535865599,Infrastructure,Manager,Millennial (born between 1981-2000),Non-Binary,5-10 years,Full time Employee,Question 1 - Response,Answer 1,119,14
8035211358,Commercial,Manager,Prefer not to answer,Prefer not to answer,5-10 years,Full time Employee,Question 1 - Response,Answer 1,119,14
5875585727,Information Technology,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1 - Response,Answer 1,119,14
7481772195,Information Technology,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1 - Response,Answer 1,119,14
2618791107,Infrastructure,Manager,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response,Answer 1,119,14
3564004995,Infrastructure,Manager,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1 - Response,Answer 1,119,14
3550987529,Finance,Manager,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 1 - Response,Answer 1,119,14
4617669690,Legal,Staff,Prefer not to answer,Female,10+ years,Full time Employee,Question 1 - Response,Answer 1,119,14
6270834102,Finance,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 1 - Response,Answer 1,119,14
6912636653,Finance,Manager,Baby Boomer (born between 1946-1964),Male,0-2 years,Full time Employee,Question 1 - Response,Answer 1,119,14
2375491161,Information Technology,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 1 - Response,Answer 1,119,14
1220878407,Executive,Manager,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 1 - Response,Answer 1,119,14
8046048988,Commercial,Manager,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 1 - Response,Answer 1,119,14
5559071396,Port Security & Emergency Operations,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1 - Response,Answer 1,119,14
7089369660,Finance,Staff,Baby Boomer (born between 1946-1964),,10+ years,Full time Employee,Question 1 - Response,Answer 2,119,10
9011744859,Infrastructure,Manager,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response,Answer 2,119,10
9526771290,Port Operations,Manager,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1 - Response,Answer 2,119,10
7852677398,People,Manager,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 1 - Response,Answer 2,119,10
3868607625,Legal,Manager,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 1 - Response,Answer 2,119,10
7164689614,Port Security & Emergency Operations,Manager,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 1 - Response,Answer 2,119,10
1892199000,Infrastructure,Department Lead,Millennial (born between 1981-2000),Male,5-10 years,Full time Employee,Question 1 - Response,Answer 2,119,10
8895572278,Infrastructure,Manager,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 1 - Response,Answer 2,119,10
9328885416,Infrastructure,Department Lead,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1 - Response,Answer 2,119,10
2102054017,Finance,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1 - Response,Answer 2,119,10
8646387163,Information Technology,Manager,Generation X (born between 1965-1980),Male,0-2 years,Full time Employee,Question 1 - Response,Answer 3,119,13
4136037887,Finance,Staff,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1 - Response,Answer 3,119,13
9624253323,Infrastructure,Staff,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 1 - Response,Answer 3,119,13
3555213031,Legal,Staff,Millennial (born between 1981-2000),Female,0-2 years,Full time Employee,Question 1 - Response,Answer 3,119,13
2696474434,Infrastructure,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 1 - Response,Answer 3,119,13
7480026174,Infrastructure,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 1 - Response,Answer 3,119,13
1859209548,Infrastructure,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response,Answer 3,119,13
2065485156,Port Security & Emergency Operations,Chief / Executive,Baby Boomer (born between 1946-1964),Male,5-10 years,Full time Employee,Question 1 - Response,Answer 3,119,13
2850296334,Infrastructure,Staff,Millennial (born between 1981-2000),Female,5-10 years,Full time Employee,Question 1 - Response,Answer 3,119,13
9137601822,Finance,Staff,Millennial (born between 1981-2000),Female,3-5 years,Full time Employee,Question 1 - Response,Answer 3,119,13
7963965247,Executive,Staff,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1 - Response,Answer 3,119,13
2841747833,Information Technology,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response,Answer 3,119,13
7940065082,Infrastructure,Department Lead,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 1 - Response,Answer 3,119,13
2658722536,Finance,Staff,,,10+ years,Full time Employee,Question 1 - Response,Answer 4,119,17
2455127238,Information Technology,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response,Answer 4,119,17
1754220060,Finance,Department Lead,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1 - Response,Answer 4,119,17
6285875694,Commercial,Department Lead,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 1 - Response,Answer 4,119,17
3968415666,Legal,Staff,Millennial (born between 1981-2000),Male,3-5 years,Full time Employee,Question 1 - Response,Answer 4,119,17
2273018449,Finance,Manager,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1 - Response,Answer 4,119,17
8087395217,Infrastructure,Staff,Millennial (born between 1981-2000),Male,3-5 years,Full time Employee,Question 1 - Response,Answer 4,119,17
6225804357,Rather not say,Manager,Generation X (born between 1965-1980),Prefer not to answer,10+ years,Full time Employee,Question 1 - Response,Answer 4,119,17
2243120133,People,Manager,Generation X (born between 1965-1980),Female,10+ years,Full time Employee,Question 1 - Response,Answer 4,119,17
4228546491,Information Technology,Staff,Generation X (born between 1965-1980),Female,3-5 years,Full time Employee,Question 1 - Response,Answer 4,119,17
5157551249,Information Technology,Staff,Baby Boomer (born between 1946-1964),Male,10+ years,Full time Employee,Question 1 - Response,Answer 4,119,17
8008971893,Executive,Staff,Generation X (born between 1965-1980),Male,5-10 years,Full time Employee,Question 1 - Response,Answer 4,119,17
1967962301,Port Operations,Department Lead,Millennial (born between 1981-2000),Male,10+ years,Full time Employee,Question 1 - Response,Answer 4,119,17
9462494279,Commercial,Staff,Prefer not to answer,Prefer not to answer,3-5 years,Full time Employee,Question 1 - Response,Answer 4,119,17
3530464299,Legal,Department Lead,Baby Boomer (born between 1946-1964),Female,10+ years,Full time Employee,Question 1 - Response,Answer 4,119,17
4304756587,Infrastructure,Staff,Generation X (born between 1965-1980),Male,10+ years,Full time Employee,Question 1 - Response,Answer 4,119,17
2254451126,Port Security & Emergency Operations,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response,Answer 4,119,17
4044163394,Infrastructure,Department Lead,Generation X (born between 1965-1980),Male,3-5 years,Full time Employee,Question 1 - Response,Answer 5,119,22
6904821010,Construction ,Staff,Millennial (born between 1981-2000),Male,0-2 years,Full time Employee,Question 1 - Response,Answer 5,119,22
